51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
52.34402 21.23717 Wileńska 12 -, 05-200 Wołomin
52.099081 20.606815 Żyrardowska 14, 05-825 Grodzisk Mazowiecki
52.18916 20.96204 Słowicza 28 -, 02-170 Warszawa
52.194352 20.961422 Aleje krakowska 271, 02-133 Warszawa
52.883845 20.618171 Zamkowa dz. nr 1189 dz. ewid. nr 1189, 06-400 Ciechanów
52.1533446 21.0542618 Jana Rosoła 63, 02-796 Warszawa
52.10825 22.386979 Chromna 37, 08-106 Chromna
52.528312 21.069918 Wierzbica 6, 05-140 Wierzbica
52.869333 21.112999 STACJA PALIW GOZANA Mazowiecka 18, _, 06-200 Maków Mazowiecki
53.118056 20.398833 ul. Dzierzgowska 140, 06-500 Mława
51.6465816 20.9397761 Kościelna 91, 26-800 Białobrzegi
52.292454 21.545317 Armii Krajowej 2388 dz.nr 2388, 05-304 Stanisławów
52.07344341 20.76834097 Stara Wieś, al. Katowicka 316, 05-830 Nadarzyn
52.14250886 20.65501776 Kwiatowa 6A, 05-822 Milanówek
52.172622 21.157067 Strzygłowska 28, 04-872 Warszawa
52.210284 20.806034 SubSoleLAB, Poznańska 246 _, 05-850 Ożarów Mazowiecki
51.6984957 20.929199 Promna-Kolonia 113, 26-803 Promna-Kolonia
52.317084 21.103337 Szkolna 9, 05-270 Marki
52.40111 20.94402 Szwajcarska 6, 05-119 Legionowo
52.8655 19.662361 Tadeusza Kościuszki 34a, 09-200 Sierpc
53.0730147 21.61821317 ŁAWY 97, 07-411 RZEKUŃ
53.073427 21.616897 Przemysłowa 1, 07-411 Rzekuń
52.1800072 20.9898053 Taśmowa 7, 02-677 Warszawa
52.189554 20.94599 Krakowiaków 50, 02-255 Warszawa
52.183471 20.995317 Domaniewska 50, 02-672 Warszawa
52.2347064 20.9993674 Twarda 18, 00-105 Warszawa
52.12191 20.727245 Akacjowa 39/41, 05-807 Podkowa Leśna
52.703028 21.092667 Staszica 35, 06-100 Pułtusk
52.2287 20.9994 Chmielna 71, 00-801 Warszawa
52.2287 20.9991 Chmielna 73, 00-801 Warszawa
52.2144619 20.8491887 Sadowa 2, 05-850 Jawczyce
52.113602 20.8584 Aleja Katowicka 47, 05-830 Wolica
52.09498926 20.81343254 Aleja Katowicka 83, 05-830 Nadarzyn
52.261825 21.055336 Radzymińska 78, 03-752 Warszawa
52.322081 20.972825 ul. Sąsiedzka 4 _, 03-168 Warszawa
51.4495 21.143857 Warszawska 222 _, 26-600 Radom
52.22857963 20.98439316 Rondo Daszyńskiego 2B, 00-843 Warszawa
52.22863534 20.98423533 Rondo Daszyńskiego 2B, 00-843 Warszawa
52.231735 20.984066 Plac Europejski 1, 00-844 Warszawa
52.1473 21.0917 Pałacowa 2, 02-962 Warszawa
52.1666 21.1089 Syta 100, 02-993 Warszawa
52.449944 21.008056 Warszawska 31A, 05-130 Zegrze
52.433083 20.698528 Warszawska 36, 05-100 Nowy Dwór Mazowiecki
53.055102 21.529678 Warszawska 45, 07-415 Grabowo
52.1894444 21.5319444 Warszawska 57, 05-303 Stojadła
52.1920584 21.5259567 Warszawska 84, 05-303 Stojadła
52.215579 20.843217 Poznańska 98, 05-850 Bronisze
52.2864181 20.937631 Wergiliusza 31, 01-859 Warszawa
52.2253408 21.0279313 Wiejska 4/6/8, 00-902 Warszawa
52.2315471 20.9798317 Przyokopowa 33, 01-208 Warszawa
52.241245 20.929083 Górczewska 124, 01-460 Warszawa
52.1848688 21.0028685 Wołoska 22, 02-675 Warszawa
52.184643 21.003579 Wołoska 22, 02-675 Warszawa
52.538065 19.751577 Wyszogrodzka 127, 09-410 Płock
52.32005748 21.07637611 Lewandów 46H, 03-299 Warszawa
51.193583 21.628139 Gołębiów 31, 27-300 Lipsko
52.753521 21.786332 Nagoszewska Druga 102, 07-300 Ostrów Mazowiecka
52.869388 19.646125 Studzieniec 3e, 09-200 Studzieniec
52.8838769 20.6181748 Zamkowa -, 06-400 Ciechanów
52.205738 21.170587 Żegańska 1, 04-713 Warszawa
52.3471487 21.2406221 Żelazna 7, 05-200 Wołomin
52.231006 21.0031245 Złota 44, 00-120 Warszawa
52.2301216 21.0039547 Złota 59, 00-120 Warszawa
52.23023366 21.00255155 Złota 59, 00-120 Warszawa
52.191056 20.867517 ZTM – P+R Ursus Niedźwiadek, ul. Orląt Lwowsk _, 02-495 Warszawa
52.153817 21.037346 ZTM METRO STOKŁOSY, Aleja Komisji Edukacji N _, 02-777 Warszawa
52.162618 21.027426 ZTM METRO URSYNÓW, Aleja Komisji Edukacji Nar _, 02-777 Warszawa
52.175053 20.943232 ZTM P+R Aleja Krakowska 100 _, 02-256 Warszawa
52.213405 21.16063 ZTM P+R ANIN SKM, ul. M. Pożaryskiego 73 _, 04-632 Warszawa
52.271328 20.969997 ZTM P+R METRO MARYMONT, ul. Włościańska 56 _, 01-710 Warszawa
52.180634 21.024769 ZTM P+R METRO WILANOWSKA, Aleja Wilanowska 23 _, 02-725 Warszawa
52.222271 20.922385 ZTM P+R POŁCZYŃSKA, ul. Połczyńska 8 _, 01-377 Warszawa
52.222875 21.149534 ZTM P+R WAWER, ul. Widoczna 2A _, 04-647 Warszawa
50.6799889 17.8796815 Wrocławska 152-154, 45-001 Opole
50.3561524 18.2540465 Tuwima 3, 32-500 Kędzierzyn Koźle
51.0716626 17.722042 Stawowa 1, 46-100 Namysłów
50.654701 17.9545068 Jagiellonów 91, 45-560 Opole
50.682105 17.941503 Oleska 104, 45-231 Opole
50.6820926 18.2156959 Sportowa 1a, 46-040 Ozimek
50.69104465 17.9518091 Oleska 152, 45-239 Opole
50.463719 18.276689 Irlandzka 13, 47-143 Olszowa
50.663044 17.928181 1 Maja 4, 45-068 Opole
50.314625 18.055039 Lotnicza 5-7, 47-325 Kamień Śląski
50.664829 17.92627 Krakowska 45/47, 45-018 Opole
50.737183 18.443216 Oleska 35, 46-380 Dobrodzień
50.337241 18.130229 B. Chrobrego 25, 47-200 Kędzierzyn- Koźle
50.6673534 17.9231107 Plac Wolności 8, 46-020 Opole
50.691005 17.95122 Oleska 152, 45-239 Opole
50.6910446 17.9517091 OLESKA 152, 45-239 OPOLE
50.989058 18.211812 Byczyńska 101, 46-203 Kluczbork
50.341593 18.19102 Armii Krajowej 38, 47-220 Kędzierzyn-Koźle
50.36960388 18.0134047 Opolska 23a, 47-344 Walce
50.676749 17.6573 A4 highway direction, 49-100 Wrocław, Poland A4, 49-100 Rzędziwojowice
50.677548 17.651843 A4 highway direction, 49-100 Rzędziwojowice, Poland A4, 49-100 Rzędziwojowice
50.6906765 17.9505843 OLESKA 152, 45-239 OPOLE
50.67640869 17.91823441 Budowlanych 4B 0, 45-121 Opole
50.6945373 18.2860333 Klasztorna 5, 46-040 Grodziec
50.663722 17.926417 Krakowska 57, 45-018 Opole
50.6957902 17.8812552 Partyzancka 84, 45-802 Opole
49.693311 19.194118 Aleja Wolności 34, 34-300 Żywiec
50.397142 18.1623261 Młyńska 11, 47-150 Raszowa
50.4726482 17.9677597 Młyńska 5, 47-300 Krapkowice
50.756162 17.433625 MOP Jankowice A4, 49-332 Jankowice Wielkie
50.568767 17.859865 MOP Przysiecz A4, 46-060 Przysiecz
50.76398 17.413771 MOP, Autostrada A4 _, 49-200 Wierzbnik
50.304415 18.33957 Brzozowa 48, 47-246 Kotlarnia
50.366695 18.311187 Zielna 4, 47-230 Kędzierzyn-Koźle
50.3372306 18.13023056 Bolesława Chrobrego 25, 47-200 Kędzierzyn Koźle
50.6968056 17.877025 Opolska 2C, 45-960 Opole
50.688458 17.949521 Pużaka 6, 45-272 Opole
50.46541 17.344348 ul. Piłsudskiego 7 (dz. nr 34/14) -, 48-303 Nysa
50.66643807 17.91769119 Barlickiego 13, 45-083 Opole
50.67952325 17.91588641 Budowlanych 9, 45-005 Opole
50.6806847 17.9317236 Chabrów 98, 45-222 Opole
50.67056119 17.91846045 Marii Konopnickiej 3, 45-004 Opole
50.66660761 17.90560377 Niemodlińska 19, 45-710 Opole
50.66160175 17.88922177 Niemodlińska 84, 45-720 Opole
50.67824002 17.93776775 Oleska 70, 45-222 Opole
50.66749914 17.93784048 Ozimska 48b, 45-368 Opole
50.65169717 17.90491651 Prószkowska 96, 45-771 Opole
50.46149826 18.16081619 Autostrada A4, 47-154 Góra Św. Anny
50.68008423 17.87627792 Wrocławska 135, 45-837 Opole
50.46321106 18.16150665 Autostrada A4, 47-154 Wysoka
50.783833 17.347638 Węzeł Przylesie 150, 49-200 Młodoszowice gm. Grodków
50.465051 17.172521 Rynek _, 48-385 Otmuchów
50.8462942 17.4194122 ul. Parkowa 0, 49-318 Skarbimierz-Osiedle
50.668088 17.930065 plac Teatralny 13, 46-020 Opole
50.2885989 17.473207 Pokrzywna 48, 46-267 Jarnołtówek
50.6675549 17.9525741 Ozimska 72, 46-020 Opole
50.523307 17.918153 Posiłek 1A, 47-300 Rogów Opolski
50.60305514 17.97351829 Oświęcimska 115 C, 45-641 Opole
50.988374 18.209765 Byczyńska 120, 46-203 Kluczbork
50.49498 17.349431 Grodkowska 9, 48-300 Nysa
50.513398 18.301783 Kościuszki - dz. 1737, 47-100 Strzelce Opolskie
50.8448314 17.418834 ul. Parkowa 12, 49-318 Skarbimierz
50.656234 17.905054 Prószkowska 71, 45-710 Opole
50.37475 18.327722 Władysława Orkana 14, 47-230 Kędzierzyn-Koźle
50.6666011 18.1129858 Ozimska 21, 46-053 Dębska Kuźnia
50.6706 17.9247 ul. Henryka Sienkiewicza 2, 45-037 Opole Sienkiewicza 2, 45-037 Opole
49.5919494 22.62936 --- 1, 38-700 Arłamów
50.0276934 22.0116195 Aleja Majora Wacława Kopisto 3, 35-515 Rzeszów
50.56957 22.0658447 Aleje Jana Pawła II 2a, 37-450 Stalowa Wola
50.1334504 22.7568752 Anny Szczepanik 145, 37-523 Radawa
50.038499 22.066585 Krasne 20B, 36-007 Rzeszów
50.569301 22.041093 Komisji Edukacji Narodowej 49, 37-450 Stalowa Wola
50.1027717 22.3220653 Białobrzegi 56A, 37-100 Łańcut
49.8234577 22.2350152 Grunwaldzka 38, 36-065 Dynów
50.0195622 22.6583541 Krakowska 32, 37-500 Jarosław
50.3011059 21.4356136 Biernackiego 12, 39-300 Mielec
49.6783403 21.7743245 Bieszczadzka 1, 38-400 Krosno
49.93987191 22.66615213 Boratyn 232, 37-561 Boratyn
50.552824 22.0396485 Centralnego Okręgu Przemysłowego 1, 37-450 Stalowa Wola
49.644121 21.786898 Handlowa 4, 38-430 Miejsce Piastowe
50.135516 22.7645957 Cicha 54, 37-523 Radawa
50.05585076 21.99190971 Wyzwolenia 6 PKS Rzeszów, 35-201 Rzeszów
50.04613 21.412965 Księdza Nosala 2, 39-200 Dębica
50.015292 22.682726 gen. Władysława Eugeniusza Sikorskiego 21, 37-500 Jarosław
50.067182 22.014142 GG AUTO RZESZÓW Lubelska 50, Rzeszów, Czynne _, 35-233 sob. 8.00-15.00, niedz. nieczynne
50.513809 22.152168 Polna 33, 37-400 Nisko
50.063497 21.731134 Sielec 79A, 39-120 Sędziszów Małopolski
50.0726479 21.7670389 Olchowa 211F, 39-127 Będziemyśl
50.025502 22.041988 Ignacego Paderewskiego 124A, 35-330 Rzeszów
50.0278723 21.7563025 Iwierzyce 80, 39-124 Iwierzyce
49.557417 22.202444 Jagiellońska 30, 38-500 Sanok
50.5727697 21.9411191 Jamnica 160, 39-410 Grębów
50.049564 21.989689 Aleja Generała Leopolda Okulickiego 14, 35-222 Rzeszów
49.67485374 21.77387476 Bieszczadzka 12a, 38-400 Krosno
49.971679 23.037062 Młyny 90, 37-552 Młyny
49.69598829 21.77035921 Aleksandra Fredry 12, 38-400 Krosno
50.04183 22.034623 Kurpiowska nr dz 1526/1, 35-001 Rzeszów
50.0722561 21.9401154 Ludwika Chmury 32, 35-001 Rzeszów
50.06818 22.23107 pl. Sobieskiego 11 dz 3807/2, 37-100 Łańcut
49.426111 22.236944 Łukowe 105, 38-516 Łukowe
50.03041 22.0380691 aleja Armii Krajowej 92, 35-307 Rzeszów
50.027056 22.014944 Aleja Kopisto 1, 35-315 Rzeszów
50.27748 21.382909 Wola Mielecka 592 _, 39-300 Mielec
50.018839 22.016482 Rejtana 67, 35-326 Rzeszów
50.048573 21.975822 Krakowska 20, 35-111 Rzeszów
49.43039562 22.60097197 29 listopada 36A, 38-700 Ustrzyki Dolne
50.040385 22.004145 Piłsudskiego 35 dz. nr 1916/8, 35-074 Rzeszów
50.09776306 21.52040291 MOP Paszczyna A4, 39-207 Paszczyna
50.06262589 22.01153183 Lubelska 46, 35-233 Rzeszów
50.06145096 21.94266319 Krakowska 291, 35-213 Rzeszów
49.79225013 22.72255898 Ostrów 312C, 37-700 Przemyśl
50.040401 22.006126 Piłsudskiego nr dz 566/11, 35-074 Rzeszów
50.019894 21.979294 Podkarpacka nr dz 1911/2, 35-082 Rzeszów
50.0285214 22.0015028 Podpromie 12, 35-051 Rzeszów
50.105389 21.977028 Rudna Mała 610, 36-060 Rudna Mała
50.105382 21.977073 Rudna Mała 610, 36-060 Głogów Małopolski
49.7877625 22.7659058 ul. 3 Maja 19 CH Szpak, 37-700 Przemyśl
50.06667 21.930668 Droga Ekspresowa S19 _, 36-072 Świlcza
50.03304 21.98154 ul. Malczewskiego dz nr 677, 35-114 Rzeszów
50.03088 21.9799 ul. Wita Stwosza dz nr 696, 35-113 Rzeszów
50.0648364 21.6487058 Rzeszowska 7, 39-100 Ropczyce
49.1756862 22.4319046 Smerek 71, 38-607 Smerek
50.5571074 22.0654017 Solidarności 6A, 37-450 Stalowa Wola
50.282864 21.430498 Wojsławska 1A, 39-300 Mielec
50.072434 22.019963 Lubelska 54, 35-233 Rzeszów
50.246 23.132 Kościuszki 1, 37-611 Cieszanów
49.471554 22.413277 Uherce Mineralne 122A przy browarze, 38-623 Uherce Mineralne
49.435821 22.5699077 Strwiążyk 2, 38-700 Ustrzyki Dolne
50.5698848 22.0977468 Szubargi 96, 37-403 Pysznica
50.3074807 21.4416416 Padykuły 9, 39-300 Mielec
50.5522222 22.04694444 Eugeniusza Kwiatkowskiego 1, 37-450 Stalowa Wola
50.585924 22.063293 Chopina 42, 37-450 Stalowa Wola
50.569611 22.041389 Komisji Edukacji Narodowej 49, 37-450 Stalowa Wola
49.681628 21.773765 Lwowska 39, 38-400 Krosno
50.312099 21.459495 Wojska Polskiego 3, 39-300 Mielec
50.202374 22.104002 Nienadówka 875, 36-052 Nienadówka
49.69656 21.7702 Aleksandra Fredry 1,38-400 Krosno 1, 38-400 Krosno
53.16182192 22.07676888 aleja Marszałka Józefa Piłsudskiego 14a, 18-400 Łomża
53.12389 23.179663 Czesława Miłosza 2, 15-201 Białystok
53.133967 23.119373 Hetmańska 16, 15-727 Białystok
53.160067 23.095673 Produkcyjna 84A, 15-680 Białystok
53.147324 23.068102 Kolonia Porosły 2c _, 16-070 Choroszcz
54.1256578 22.9278167 Daszyńskiego 8, 16-402 Suwałki
53.13786 23.11373 Aleja Jana Pawła II 51, 15-704 Białystok
54.0296714 22.8955936 Poddubówek 57, 16-402 Poddubówek
53.169903 22.076706 Zawadzka 38, 18-400 Łomża
52.973266 22.253053 Legionowa 11, 18-300 Zambrów
54.1069245 22.9320066 Generała Józefa Dwernickiego 15, 16-400 Suwałki
54.0826369 22.9395293 Innowacyjna 3, 16-400 Suwałki
53.632882 22.475302 Białostocka 4, 19-200 Grajewo
54.125463 22.944164 Generała Kazimierza Pułaskiego 68b, 16-400 Suwałki
53.156174 23.1931582 Trawiasta 1A, 15-161 Białystok
54.123063 22.92061 Mikołaja Reja 71, 16-402 Suwałki
53.25 23.3 Plac Kościuszki 8 C, 16-100 Sokółka
53.146035 23.071477 Elewatorska 39, 15-620 Białystok
53.14863968 23.15552711 Al. Tysiąclecia Państwa Polskiego 11A, 15-111 Białystok
53.99782562 22.825737 Raczki-Suwałki S61, 16-420 MOP Rudniki Południe
52.90814209 22.09314919 kpt. Antoniego Kozłowskiego 21A, 18-305 Szumowo
53.64671832 22.45216537 ul. Ks. J. Popiełuszki - dz. nr 2527/16, 19-200 Grajewo
53.144711 23.078478 Jana Pawła II 89, 15-703 Białystok
52.982889 22.892131 Żwirki i Wigury 25, 18-100 Łapy
53.832861 22.964306 Wojska Polskiego 69A, 16-302 Augustów
53.130567 23.063025 Krupniki 25 _, 15-641 Białystok
53.161802 23.185357 Wysockiego 65 _, 15-168 Białystok
53.85829 22.9984939 Zdrojowa 1, 16-300 Augustów
53.13955709 23.12750716 Władysława Broniewskiego 14, 15-959 Białystok
54.409583 18.568389 aleja Grunwaldzka 507, 80-320 Gdańsk
54.5191 18.551626 aleja Jana Pawła II 1, 81-345 Gdynia
54.473071 18.512871 Wielkopolska 260, 81-531 Gdynia
54.331298 18.53429 AUDI PLICHTA Lubowidzka 44 Gdańsk _, 80-174 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.494819 18.535762 AUDI PLICHTA Łużycka 3A Gdynia _, 81-537 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.387051 18.64632 PLICHTA DEALER PARK, ul. Marynarki Polskiej 9 _, 80-864 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.387051 18.64632 PLICHTA DEALER PARK, ul. Marynarki Polskiej 9 _, 80-864 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.36892 18.39378 Gdańska 62, 83-330 Pępowo
54.5830015 16.8895296 Niemcewicza 33, 76-270 Ustka
54.327292 18.538679 VW BENEPOL Lubowidzka 33, Gdańsk _, 80-174 Czynne: pn-sb 6.00 - 22.00
53.88280989 17.71640243 Wojska Polskiego 56, 89-632 Brusy
53.6936267 17.5582141 pl. Piastowski 31, 89-600 Chojnice
54.40233558 18.63139999 Gdańska 21, 80-518 Gdańsk
54.0727007 18.4573999 Tczewska 7A 7A, 83-250 Skarszewy
53.97414883 18.5384792 Zielona 14, 83-250 Starogard Gdański
54.432294 18.483454 Odyseusza 1, 80-299 Gdańsk
54.399472 18.628459 BOHEMIA CITY MOTORS Uczniowska 36 _, 80-530 Gdańsk
54.3701227 18.4475882 Botaniczna 18, 80-298 Gdańsk
54.3102264 18.5533885 ul.Kominkowa 21, 80-180 Kowale
54.4564956 16.98735774 Szczecińska 40, 76-200 Słupsk
54.1640857 17.4886251 Dworzec 2, 77-100 Bytów
54.521079 18.531003 Plac Konstytucji 1 1, 81-354 Gdynia
54.35664749 18.64769745 Rajska 1/5f, 80-850 Gdańsk
54.36098862 18.64734077 Nowomiejska 1, 80-864 Gdańsk
54.37767029 18.57307243 Trawki 7A, 80-257 Gdańsk
54.35357666 18.55171013 Andersa (parking PKM Jasień) 1, 80-126 Gdańsk
54.43056488 18.47023773 Balcerskiego 10, 80-299 Gdańsk
54.36096954 18.71128273 Stryjewskiego 27, 80-623 Gdańsk
54.32585526 18.61861992 Krzemowa 6D, 80-041 Gdańsk
54.38079453 18.61352921 Waryńskiego 15, 80-433 Gdańsk
54.38500977 18.59051132 Karłowicza 2, 80-280 Gdańsk
54.36656952 18.62933159 Skłodowskiej-Curie 2, 80-210 Gdańsk
54.38043213 18.58911705 Słowackiego 21, 80-257 Gdańsk
54.37237167 18.62804985 Towarowa 38, 80-218 Gdańsk
54.42129898 18.60149384 Piastowska 198, 80-241 Gdańsk
54.40938187 18.56217957 Opata Jacka Rybińskiego 17, 80-320 Gdańsk
54.40707779 18.61689949 Czarny Dwór 18/7, 80-980 Gdańsk
54.38014221 18.62176895 Generała Józefa Hallera 16/18, 80-426 Gdańsk
54.39001846 18.60264015 Dywizjonu 303 25, 80-462 Gdańsk
54.39716339 18.59461594 Startowa 4A, 80-462 Gdańsk
54.30509949 18.58128166 Tenisowa 2, 80-180 Gdańsk
54.34914017 18.59007263 Stanisława Lema 12, 80-126 Gdańsk
54.35794067 18.57538033 Marusarzówny 9, 80-288 Gdańsk
54.32829285 18.58021164 Piotrkowska 41, 80-180 Gdańsk
54.34001923 18.61623764 Dragana 20, 80-809 Gdańsk
54.32377243 18.61886024 Dywizji Wołyńskiej 8, 80-041 Gdańsk
54.32722855 18.60677147 Królowej Jadwigi 111, 80-034 Gdańsk
54.35117722 18.64428329 Targ Rakowy 5/7, 80-806 Gdańsk
54.35566711 18.64298439 3 Maja (Dworzec PKS) 12, 80-802 Gdańsk
54.36630249 18.63376236 Aleja Zwycięstwa 45, 80-210 Gdańsk
54.38801956 18.62381554 Baczyńskiego 2, 80-410 Gdańsk
54.41266632 18.58128738 Bolesława Krzywoustego 30, 80-360 Gdańsk
54.40493393 18.58548164 Krynicka 29, 80-393 Gdańsk
54.39660263 18.58855629 Pilotów 23D, 80-460 Gdańsk
54.40790558 18.62845421 Korzeniowskiego 50A, 80-508 Gdańsk
54.40353012 18.6423645 Dunikowskiego 5D, 80-516 Gdańsk
54.40158844 18.65841866 Wyzwolenia 17, 80-537 Gdańsk
54.36101151 18.71563911 Pawia 4, 80-631 Gdańsk
54.38542557 18.56966019 Michałowskiego 48, 80-300 Gdańsk
54.39447784 18.61486053 Leszczyńskich 1, 80-464 Gdańsk
54.34412766 18.56337357 Damroki 58, 80-177 Gdańsk
54.3506012 18.60121918 Kurpińskiego 18, 80-169 Gdańsk
54.35374069 18.61410522 Powstańców Warszawskich 68, 80-152 Gdańsk
54.32154465 18.61330414 Dywizji Wołyńskiej 16, 80-041 Gdańsk
54.34170532 18.62694931 Styp-Rekowskiego 14, 80-808 Gdańsk
54.34984207 18.58222389 Piekarnicza 23, 80-126 Gdańsk
54.35216522 18.57605553 Bulońska 46, 80-001 Gdańsk
54.35473251 18.49463844 Fundamentowa 3, 80-298 Gdańsk
54.37250519 18.72995949 Wydmy 1, 80-600 Gdańsk
54.37639618 18.58097839 Srebrniki 12, 80-282 Gdańsk
54.34266663 18.6008091 Łostowicka 27C, 80-001 Gdańsk
54.41706467 18.57557678 Pomorska 96, 80-333 Gdańsk
54.37981796 18.63411522 Marynarki Polskiej 130, 80-557 Gdańsk
54.42338181 18.59787369 Kapliczna 38, 80-341 Gdańsk
54.37941742 18.60453224 al. Grunwaldzka 103, 80-244 Gdańsk
54.40732956 18.56991005 al. Grunwaldzka 491, 80-309 Gdańsk
54.34902954 18.62297058 Kartuska 82, 80-138 Gdańsk
54.34258652 18.64745522 Jana Augustyńskiego 2, 80-819 Gdańsk
54.35325623 18.64883041 Kowalska 8, 80-846 Gdańsk
54.34186172 18.6227169 Chałubińskiego 7, 80-809 Gdańsk
54.37343979 18.62569046 Towarowa 1B, 80-001 Gdańsk
54.35883713 18.64089394 Gradowa 1, 80-802 Gdańsk
54.37935638 18.60743332 Dmowskiego 7, 80-243 Gdańsk
54.41685867 18.59100342 Piastowska 90E, 80-332 Gdańsk
54.37670517 18.63236809 Okrąg 1, 80-871 Gdańsk
54.33465195 18.6280365 Zamiejska 35, 80-766 Gdańsk
54.34948349 18.63680458 Księdza Franciszka Rogaczewskiego 55, 80-807 Gdańsk
54.37724304 18.60703087 Grunwaldzka 82, 80-244 Gdańsk
54.35061264 18.524683 Szczęśliwa 3, 80-176 Gdańsk
54.53225708 18.49443245 Morska 118C, 81-225 Gdynia
54.49398804 18.43657875 Staniszewskiego 15, 81-603 Gdynia
54.51063538 18.5216713 Witomińska 76, 81-311 Gdynia
54.46966553 18.46997643 Sojowa 22, 81-589 Gdynia
54.49555969 18.53467178 Łużycka 2, 81-537 Gdynia
54.47616959 18.50403976 Strzelców 11, 81-661 Gdynia
54.48504257 18.52597809 Łowicka 51, 81-504 Gdynia
54.56106186 18.49029922 Porębskiego 9, 81-185 Gdynia
54.56107712 18.50831604 Ledóchowskiego 12, 81-189 Gdynia
54.54266357 18.46040916 Kartuska 20B, 81-003 Gdynia
54.59381485 18.09840202 Ks. Twardowskiego 2, 84-242 Kębłowo
54.52656555 18.52386284 Polska 39A, 81-334 Gdynia
54.52997208 18.49671173 Komandorska 48, 81-222 Gdynia
54.53007126 18.49628258 Komandorska 50, 81-222 Gdynia
54.00503159 16.98440742 Marii Konopnickiej 2, 77-201 Miastko
54.72161484 18.41514206 Męczenników Piaśnicy 1, 84-100 Puck
54.60811996 18.79868317 Portowa 11, 84-150 Hel
54.37454987 17.16102409 Antoniego Kani 26, 76-248 Dębnica Kaszubska
53.94986725 18.47284508 Rokocin 4G, 83-200 Rokocin
54.46441269 17.02813721 Plac Zwycięstwa 3, 76-200 Słupsk
54.46173477 17.00714493 Szczecińska 99, 76-200 Słupsk
54.48699951 18.21712494 Samorządowa 1, 84-217 Szemud
54.11030579 18.78652573 Malinowska 24, 83-110 Tczew
54.349249 18.642839 Targ Sienny 7, 80-806 Gdańsk
54.4400901 18.5624655 Dworcowa 7, 81-704 Sopot
54.409496 18.593683 Obrońców Wybrzeża 1, 80-398 Gdańsk
54.383996 18.593531 Cypriana Kamila Norwida 1, 80-280 Gdańsk
54.383996 18.593531 Cypriana Kamila Norwida 1, 80-280 Gdańsk
54.383996 18.593531 Cypriana Kamila Norwida 1, 80-280 Gdańsk
54.383996 18.593531 Cypriana Kamila Norwida 1, 80-280 Gdańsk
54.383996 18.593531 Cypriana Kamila Norwida 1, 80-280 Gdańsk
54.383996 18.593531 Cypriana Kamila Norwida 1, 80-280 Gdańsk
54.448514 16.963106 Sezamkowa 7 _, 76-251 Kobylnica
54.367012 18.692889 prof. Witolda Andruszkiewicza 5, 80-601 Gdańsk
54.345382 18.651385 Lastadia 2, 80-880 Gdańsk
54.5099956 18.5394792 Generała Józefa Bema 26, 81-381 Gdynia
54.1967349 18.3259098 Szkolna 1, 83-047 Przywidz
54.5760892 17.8675474 Godętowo 1, 84-218 Godętowo
53.932564 18.351768 Osiedle Dębowe 4, 83-210 Zblewo
54.5812246 16.8682982 Grunwaldzka 14A, 76-270 Ustka
54.347988 18.670747 GRUPA MAKURAT VW, SKODA, SEAT, CUPRA, TESLA - _, 00-000 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-13.0
53.950536 18.472752 Rokocin 4G _, 83-200 Rokocin
54.4456638 18.5681441 Powstańców Warszawy 7 -, 81-718 Sopot
54.4456638 18.5681441 Powstańców Warszawy 7 -, 81-718 Sopot
54.4456638 18.5681441 Powstańców Warszawy 7 -, 81-718 Sopot
54.57464 18.39386 ul. Morska 24a, 84-230 Rumia
54.57277107 18.3834941 Grunwaldzka 7, 84-230 Rumia
54.5539503 18.4156918 Sobieskiego 125, 84-230 Rumia
54.2211425 18.3765864 Leśników 3, 83-047 Przywidz Pomlewo
54.5037533 18.5358712 al. Zwycięstwa 14, 81-525 Gdynia
53.741927 17.513189 Wczasowa 1, 89-606 Charzykowy
54.373341 18.518663 Złota Karczma 26, 80-298 Gdańsk
53.887003 18.631078 IONITY MOP Olsze (dir. Gdańsk) A1, 83-250 Olsze
53.88921 18.630799 A1 Mop, 83-250 Olsze, Poland A1, 83-250 Olsze
54.764843 17.548942 Jachtowa 8, 84-360 Łeba
54.3604184 18.64694969 Jana z Kolna 11, 80-980 Gdańsk
54.3829596 18.4667226 Juliusza Słowackiego 200, 80-298 Gdańsk
54.3819054 18.4691957 Juliusza Słowackiego 210, 80-298 Gdańsk
54.3810014 18.4700021 Juliusza Słowackiego 210, 80-298 Gdańsk
54.381536 18.471632 Juliusza Słowackiego 210, 80-298 Gdańsk
54.381085 18.469554 Juliusza Słowackiego 210, 80-298 Gdańsk
54.529805 18.504617 Morska 82, 81-228 Gdynia
54.130047 18.000716 Drogowców 12, 83-400 Kościerzyna
54.309104 18.561893 Glazurowa 2, 88-180 Kowale
53.888138 18.632972 MOP Olsze A1, 83-132 Olsze
53.888472 18.629222 MOP Olsze A1, 83-132 Olsze
54.664972 17.057876 Kościelna 16, 76-212 Rowy
